state,sat_participation_2017,sat_total_2017,total_average_2017,sat_participation_2018,sat_total_2018,total_average_2018
Alabama,0.05,1165,582.5,0.06,1166,583.0
Alaska,0.38,1080,540.0,0.43,1106,553.0
Arizona,0.3,1116,558.0,0.29,1149,574.5
Arkansas,0.03,1208,604.0,0.05,1169,584.5
California,0.53,1055,527.5,0.6,1076,538.0
Colorado,0.11,1201,600.5,1.0,1025,512.5
Connecticut,1.0,1041,520.5,1.0,1053,526.5
Delaware,1.0,996,498.0,1.0,998,499.0
District of Columbia,1.0,950,475.0,0.92,977,488.5
Florida,0.83,1017,508.5,0.56,1099,549.5
Georgia,0.61,1050,525.0,0.7,1064,532.0
Hawaii,0.55,1085,542.5,0.56,1010,505.0
Idaho,0.93,1005,502.5,1.0,1001,500.5
Illinois,0.09,1115,557.5,0.99,1019,509.5
Indiana,0.63,1074,537.0,0.63,1074,537.0
Iowa,0.02,1275,637.5,0.03,1265,632.5
Kansas,0.04,1260,630.0,0.04,1265,632.5
Kentucky,0.04,1247,623.5,0.04,1248,624.0
Louisiana,0.04,1198,599.0,0.04,1210,605.0
Maine,0.95,1012,506.0,0.99,1013,506.5
Maryland,0.69,1060,530.0,0.76,1080,540.0
Massachusetts,0.76,1107,553.5,0.8,1125,562.5
Michigan,1.0,1005,502.5,1.0,1011,505.5
Minnesota,0.03,1295,647.5,0.04,1298,649.0
Mississippi,0.02,1242,621.0,0.03,1236,618.0
Missouri,0.03,1271,635.5,0.04,1262,631.0
Montana,0.1,1196,598.0,0.1,1198,599.0
Nebraska,0.03,1253,626.5,0.03,1252,626.0
Nevada,0.26,1116,558.0,0.23,1140,570.0
New Hampshire,0.96,1052,526.0,0.96,1063,531.5
New Jersey,0.7,1056,528.0,0.82,1094,547.0
New Mexico,0.11,1138,569.0,0.16,1093,546.5
New York,0.67,1052,526.0,0.79,1068,534.0
North Carolina,0.49,1081,540.5,0.52,1098,549.0
North Dakota,0.02,1256,628.0,0.02,1283,641.5
Ohio,0.12,1149,574.5,0.08,1062,531.0
Oklahoma,0.07,1047,523.5,0.18,1099,549.5
Oregon,0.43,1108,554.0,0.48,1117,558.5
Pennsylvania,0.65,1071,535.5,0.7,1086,543.0
Rhode Island,0.71,1062,531.0,0.97,1018,509.0
South Carolina,0.5,1064,532.0,0.55,1070,535.0
South Dakota,0.03,1216,608.0,0.03,1240,620.0
Tennessee,0.05,1228,614.0,0.06,1231,615.5
Texas,0.62,1020,510.0,0.66,1032,516.0
Utah,0.03,1238,619.0,0.04,1010,505.0
Vermont,0.6,1114,557.0,0.64,1120,560.0
Virginia,0.65,1102,551.0,0.68,1117,558.5
Washington,0.64,1075,537.5,0.69,1081,540.5
West Virginia,0.14,1086,543.0,0.28,999,499.5
Wisconsin,0.03,1291,645.5,0.03,1294,647.0
Wyoming,0.03,1230,615.0,0.03,1257,628.5
